"track_artist","track_name","energy","loudness","liveness","valence","speechiness","danceability","playlist_genre","count"
"David Guetta","She Wolf (Falling to Pieces) (feat. Sia)",0.857,-2.634,0.344,0.393,0.0655,0.492,"pop",2
"David Guetta","Rise (feat. Skylar Grey)",0.717,-2.893,0.119,0.253,0.0511,0.656,"pop",1
"David Guetta","Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,"pop",6
"David Guetta","Sexy Bitch (feat. Akon)",0.627,-5.018,0.131,0.801,0.0486,0.813,"pop",2
"David Guetta","I Can Only Imagine (feat. Chris Brown & Lil Wayne)",0.939,-2.06,0.335,0.264,0.0427,0.67,"pop",1
"David Guetta","Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,"pop",5
"David Guetta","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.73,-4.091,0.325,0.525,0.151,0.596,"pop",1
"David Guetta","Where Them Girls At (feat. Nicki Minaj & Flo Rida)",0.876,-3.078,0.259,0.552,0.0414,0.666,"pop",1
"The Chainsmokers","Roses",0.808,-7.652,0.225,0.309,0.0473,0.718,"pop",7
"The Chainsmokers","Something Just Like This",0.635,-6.769,0.164,0.446,0.0317,0.617,"pop",5
"The Chainsmokers","Closer",0.541,-5.597,0.11,0.662,0.0297,0.736,"pop",1
"The Chainsmokers","All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,"pop",3
"Martin Garrix","So Far Away (feat. Jamie Scott & Romy Dya)",0.52,-7.985,0.197,0.13,0.0569,0.526,"pop",2
"Martin Garrix","Ocean (feat. Khalid)",0.693,-7.265,0.0891,0.221,0.0412,0.506,"pop",2
"David Guetta","Turn Me On (feat. Nicki Minaj)",0.793,-2.266,0.575,0.412,0.0591,0.704,"pop",2
"The Chainsmokers","Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,"pop",3
"David Guetta","Flames",0.649,-5.892,0.0934,0.421,0.0385,0.631,"pop",2
"David Guetta","Would I Lie to You - Radio Edit",0.826,-5.766,0.631,0.774,0.309,0.671,"pop",1
"David Guetta","Play Hard (feat. Ne-Yo & Akon) - New Edit",0.87,-3.013,0.656,0.678,0.0435,0.723,"pop",1
"David Guetta","Little Bad Girl (feat. Taio Cruz & Ludacris)",0.829,-2.748,0.358,0.648,0.0334,0.668,"pop",1
"Martin Garrix","There for You",0.644,-7.607,0.124,0.13,0.0553,0.611,"pop",3
"Martin Garrix","Together",0.729,-4.773,0.233,0.196,0.0343,0.509,"pop",3
"David Guetta","Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,"pop",5
"David Guetta","Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,"pop",6
"David Guetta","Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,"pop",6
"David Guetta","Memories (feat. Kid Cudi)",0.87,-6.103,0.246,0.502,0.26,0.544,"pop",3
"Martin Garrix","Forbidden Voices",0.711,-5.927,0.135,0.3,0.0368,0.534,"pop",4
"David Guetta","Titanium (feat. Sia) - Alesso Remix",0.652,-6.826,0.0894,0.13,0.0461,0.696,"pop",2
"Queen","Radio Ga Ga",0.414,-12.036,0.0942,0.731,0.0379,0.762,"pop",1
"The Chainsmokers","Young",0.564,-6.384,0.148,0.454,0.0291,0.615,"pop",1
"Martin Garrix","Now That I've Found You",0.831,-5.812,0.495,0.414,0.0319,0.495,"pop",2
"David Guetta","Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,"pop",3
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"pop",10
"The Chainsmokers","All We Know",0.586,-8.821,0.115,0.296,0.0307,0.662,"pop",3
"The Chainsmokers","Kanye",0.619,-6.575,0.117,0.121,0.0523,0.599,"pop",1
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"pop",8
"David Guetta","Say My Name",0.66,-5.119,0.192,0.79,0.123,0.703,"pop",2
"The Chainsmokers","Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,"pop",7
"Martin Garrix","No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,"pop",5
"The Chainsmokers","Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,"pop",4
"David Guetta","Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,"pop",6
"Martin Garrix","There for You",0.644,-7.607,0.124,0.13,0.0553,0.611,"pop",3
"The Chainsmokers","Push My Luck - Famba Remix",0.811,-6.427,0.0553,0.339,0.0396,0.632,"pop",1
"The Chainsmokers","Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,"pop",7
"The Chainsmokers","Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,"pop",6
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"rap",10
"The Chainsmokers","Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,"rap",6
"David Guetta","Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,"rap",3
"David Guetta","Memories (feat. Kid Cudi)",0.899,-3.937,0.229,0.47,0.233,0.546,"rap",3
"Don Omar","Danza Kuduro - Radio Edit",0.899,-5.601,0.043,0.887,0.12,0.699,"rap",1
"Martin Garrix","Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,"rap",6
"Martin Garrix","Wizard - Radio Edit",0.916,-4.715,0.617,0.0795,0.052,0.565,"rap",3
"The Chainsmokers","Siren",0.779,-4.284,0.371,0.264,0.107,0.588,"rap",1
"The Chainsmokers","Closer - T-Mass Remix",0.821,-4.338,0.0796,0.608,0.0444,0.7,"rap",1
"The Chainsmokers","Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,"rap",4
"The Chainsmokers","Side Effects - Nolan van Lith Remix",0.939,-4.024,0.0561,0.516,0.0977,0.548,"rap",1
"Queen","We Are The Champions - Remastered 2011",0.459,-6.94,0.118,0.175,0.0346,0.268,"rock",3
"Queen","Killer Queen - Remastered 2011",0.651,-6.326,0.133,0.612,0.0544,0.535,"rock",1
"Queen","Under Pressure - Remastered",0.711,-7.813,0.104,0.466,0.0478,0.671,"rock",3
"Queen","We Will Rock You - Remastered",0.497,-7.316,0.258,0.473,0.119,0.693,"rock",3
"Queen","We Are The Champions",0.312,-14.576,0.0949,0.221,0.033,0.281,"rock",1
"Queen","Keep Yourself Alive - 2011 Mix",0.736,-9.546,0.157,0.597,0.0744,0.442,"rock",1
"Queen","Doing Alright - Remastered 2011",0.286,-12.334,0.085,0.192,0.0344,0.339,"rock",1
"Queen","Great King Rat - Remastered 2011",0.845,-12.339,0.111,0.421,0.2,0.35,"rock",1
"Queen","My Fairy King - Remastered 2011",0.547,-10.124,0.134,0.247,0.0333,0.3,"rock",1
"Queen","Liar - Remastered 2011",0.784,-7.202,0.195,0.27,0.153,0.217,"rock",1
"Queen","The Night Comes Down - Remastered 2011",0.57,-12.374,0.396,0.642,0.0633,0.406,"rock",1
"Queen","Modern Times Rock 'N Roll - Remastered 2011",0.935,-9.151,0.831,0.6,0.0734,0.469,"rock",1
"Queen","Son And Daughter - Remastered 2011",0.723,-7.842,0.369,0.749,0.0434,0.328,"rock",1
"Queen","Jesus - Remastered 2011",0.747,-7.065,0.181,0.583,0.172,0.367,"rock",1
"Queen","Seven Seas Of Rhye - Remastered 2011",0.458,-13.372,0.154,0.0447,0.0409,0.245,"rock",2
"Queen","Procession - Remastered 2011",0.0725,-23.459,0.137,0.435,0.032,0.415,"rock",1
"Queen","Father To Son - Remastered 2011",0.646,-11.086,0.188,0.213,0.0541,0.155,"rock",1
"Queen","White Queen (As It Began) - Remastered 2011",0.296,-12.441,0.133,0.172,0.0358,0.242,"rock",1
"Queen","Some Day One Day - Remastered 2011",0.573,-13.872,0.0792,0.699,0.0364,0.337,"rock",1
"Queen","The Loser In The End - Remastered 2011",0.813,-8.035,0.152,0.677,0.157,0.386,"rock",1
"Queen","Ogre Battle - Remastered 2011",0.823,-9.629,0.55,0.255,0.0928,0.271,"rock",1
"Queen","The Fairy Feller's Master-Stroke - Remastered 2011",0.897,-8.628,0.121,0.696,0.0909,0.441,"rock",1
"Queen","Nevermore - Remastered 2011",0.398,-11.527,0.13,0.181,0.0367,0.366,"rock",1
"Queen","The March Of The Black Queen - 2011 Mix",0.687,-8.44,0.64,0.136,0.0787,0.332,"rock",1
"Queen","Funny How Love Is - Remastered 2011",0.945,-8.388,0.346,0.392,0.081,0.444,"rock",1
"Queen","Seven Seas Of Rhye - Remastered 2011",0.896,-6.089,0.253,0.421,0.104,0.317,"rock",2
"Queen","Brighton Rock - Remastered 2011",0.843,-9.17,0.789,0.348,0.378,0.354,"rock",1
"Queen","Killer Queen - 2011 Mix",0.651,-6.326,0.133,0.612,0.0544,0.535,"rock",3
"Queen","Tenement Funster - Remastered 2011",0.69,-7.362,0.345,0.529,0.0337,0.416,"rock",1
"Queen","Flick Of The Wrist - Remastered 2011",0.834,-6.061,0.227,0.553,0.0882,0.338,"rock",1
"Queen","Lily Of The Valley - Remastered 2011",0.264,-10.012,0.148,0.416,0.0281,0.339,"rock",1
"Queen","Now I'm Here - Remastered 2011",0.759,-6.938,0.0988,0.522,0.0511,0.492,"rock",1
"Queen","In The Lap Of The Gods - Remastered 2011",0.551,-6.43,0.348,0.23,0.0323,0.326,"rock",1
"Queen","Stone Cold Crazy - Remastered 2011",0.922,-6.649,0.0954,0.439,0.0924,0.429,"rock",2
"Queen","Dear Friends - Remastered 2011",0.0455,-16.092,0.172,0.571,0.0344,0.317,"rock",1
"Queen","Misfire - Remastered 2011",0.84,-7.006,0.431,0.961,0.03,0.614,"rock",1
"Queen","Bring Back That Leroy Brown - Remastered 2011",0.641,-5.594,0.0763,0.863,0.0879,0.702,"rock",1
"Queen","She Makes Me (Stormtrooper In Stilettos) - Remastered 2011",0.533,-7.677,0.119,0.371,0.0257,0.461,"rock",1
"Queen","In The Lap Of The Gods... Revisited - Remastered 2011",0.575,-8.609,0.291,0.503,0.0368,0.41,"rock",1
"Queen","Death On Two Legs (Dedicated To...) - Remastered 2011",0.691,-6.219,0.133,0.499,0.0554,0.373,"rock",2
"Queen","Lazing On A Sunday Afternoon - Remastered 2011",0.557,-9.108,0.0845,0.703,0.0535,0.645,"rock",1
"Queen","I'm In Love With My Car - Remastered 2011",0.803,-8.541,0.321,0.41,0.065,0.292,"rock",1
"Queen","You're My Best Friend - Remastered 2011",0.76,-6.995,0.0706,0.55,0.0411,0.51,"rock",2
"Queen","39 - 2011 Mix",0.571,-9.686,0.111,0.373,0.0273,0.524,"rock",2
"Queen","Sweet Lady - Remastered 2011",0.862,-8.888,0.616,0.579,0.0738,0.312,"rock",1
"Queen","Seaside Rendezvous - Remastered 2011",0.699,-5.496,0.294,0.798,0.117,0.459,"rock",1
"Queen","The Prophet's Song - Remastered 2011",0.446,-9.819,0.348,0.18,0.0452,0.395,"rock",1
"Queen","Love Of My Life - Remastered 2011",0.179,-11.589,0.115,0.255,0.0299,0.329,"rock",1
"Queen","Good Company - Remastered 2011",0.409,-11.254,0.322,0.542,0.0431,0.488,"rock",1
"Queen","Bohemian Rhapsody - 2011 Mix",0.404,-9.928,0.3,0.224,0.0499,0.414,"rock",3
"Queen","God Save The Queen - Remastered 2011",0.293,-15.308,0.279,0.24,0.0369,0.17,"rock",1
"Queen","Tie Your Mother Down - Remastered 2011",0.887,-5.588,0.367,0.196,0.0648,0.331,"rock",2
"Queen","You Take My Breath Away - Remastered 2011",0.213,-15.166,0.264,0.0787,0.0465,0.234,"rock",1
"Queen","Long Away - Remastered 2011",0.742,-6.458,0.263,0.317,0.0399,0.494,"rock",1
"Queen","The Millionaire Waltz - Remastered 2011",0.338,-7.625,0.129,0.37,0.0327,0.323,"rock",1
"Queen","You And I - Remastered 2011",0.869,-5.78,0.43,0.535,0.0599,0.526,"rock",1
"Queen","Somebody To Love - 2011 Mix",0.698,-7.024,0.233,0.333,0.0624,0.406,"rock",5
"Queen","White Man - Remastered 2011",0.688,-7.738,0.241,0.266,0.0694,0.279,"rock",1
"Queen","Good Old-Fashioned Lover Boy - 2011 Mix",0.461,-6.724,0.0563,0.385,0.0302,0.543,"rock",1
"Queen","Drowse - Remastered 2011",0.561,-10.151,0.106,0.432,0.0338,0.439,"rock",1
"Queen","Teo Torriatte (Let Us Cling Together) - 2011 Mix",0.239,-10.202,0.101,0.122,0.0291,0.274,"rock",1
"Queen","We Will Rock You - Remastered",0.497,-7.316,0.259,0.475,0.119,0.692,"rock",3
"Queen","Sheer Heart Attack - Remastered 2011",0.938,-4.624,0.359,0.383,0.126,0.155,"rock",2
"Queen","All Dead, All Dead - Remastered 2011",0.0765,-14.57,0.114,0.305,0.0416,0.491,"rock",1
"Queen","Spread Your Wings - 2011 Mix",0.656,-6.462,0.0624,0.487,0.0329,0.395,"rock",1
"Queen","Fight From The Inside - Remastered 2011",0.848,-5.673,0.613,0.327,0.0755,0.577,"rock",1
"Queen","Get Down, Make Love - Remastered 2011",0.713,-4.825,0.212,0.369,0.268,0.446,"rock",1
"Queen","Sleeping On The Sidewalk - Remastered 2011",0.767,-7.811,0.387,0.644,0.027,0.619,"rock",1
"Queen","Who Needs You - Remastered 2011",0.381,-12.823,0.202,0.906,0.0528,0.863,"rock",1
"Queen","It's Late - Remastered 2011",0.691,-5.245,0.0899,0.513,0.0575,0.293,"rock",1
"Queen","My Melancholy Blues - Remastered 2011",0.202,-14.369,0.193,0.102,0.0333,0.469,"rock",1
"Queen","Mustapha - Remastered 2011",0.628,-9.902,0.0709,0.485,0.123,0.595,"rock",1
"Queen","Fat Bottomed Girls - 2011 Remaster",0.683,-7.679,0.342,0.419,0.0491,0.332,"rock",1
"Queen","Jealousy - Remastered 2011",0.478,-9.842,0.243,0.211,0.031,0.574,"rock",1
"Queen","Bicycle Race - Remastered 2011",0.671,-6.438,0.0947,0.633,0.0683,0.463,"rock",1
"Queen","If You Can't Beat Them - Remastered 2011",0.774,-5.434,0.358,0.665,0.0681,0.427,"rock",1
"Queen","Let Me Entertain You - Remastered 2011",0.902,-4.826,0.737,0.592,0.197,0.521,"rock",1
"Queen","Dead On Time - Remastered 2011",0.954,-4.56,0.237,0.421,0.288,0.31,"rock",1
"Queen","In Only Seven Days - Remastered 2011",0.469,-7.148,0.128,0.409,0.0306,0.517,"rock",1
"Queen","Dreamer's Ball - Remastered 2011",0.369,-7.616,0.419,0.406,0.0346,0.607,"rock",1
"Queen","Fun It - Remastered 2011",0.614,-6.846,0.0808,0.834,0.296,0.832,"rock",1
"Queen","Leaving Home Ain't Easy - Remastered 2011",0.454,-9.208,0.112,0.216,0.028,0.518,"rock",1
"Queen","Don't Stop Me Now - 2011 Mix",0.868,-5.276,0.776,0.609,0.17,0.559,"rock",2
"Queen","More Of That Jazz - Remastered 2011",0.717,-5.787,0.0936,0.514,0.0656,0.354,"rock",1
"Queen","Play The Game - Remastered 2011",0.7,-5.772,0.122,0.273,0.0346,0.242,"rock",1
"Queen","Dragon Attack - Remastered 2011",0.867,-5.482,0.266,0.557,0.149,0.7,"rock",1
"Queen","Another One Bites The Dust - Remastered 2011",0.528,-6.472,0.163,0.754,0.161,0.933,"rock",3
"Queen","Need Your Loving Tonight - Remastered 2011",0.876,-3.879,0.242,0.804,0.0393,0.604,"rock",1
"Queen","Crazy Little Thing Called Love - Remastered 2011",0.761,-6.887,0.349,0.712,0.0421,0.599,"rock",1
"Queen","Rock It (Prime Jive) - Remastered 2011",0.915,-5.698,0.064,0.634,0.0612,0.47,"rock",1
"Queen","Don't Try Suicide - Remastered 2011",0.486,-7.543,0.0314,0.646,0.2,0.796,"rock",1
"Queen","Sail Away Sweet Sister - Remastered 2011",0.5,-6.937,0.0907,0.196,0.0282,0.512,"rock",1
"Queen","Coming Soon - Remastered 2011",0.915,-5.785,0.156,0.863,0.0455,0.685,"rock",1
"Queen","Save Me - Remastered 2011",0.452,-6.8,0.109,0.322,0.0269,0.507,"rock",1
"Queen","Staying Power - Remastered 2011",0.855,-6.105,0.0801,0.491,0.109,0.823,"rock",1
"Queen","Dancer - Remastered 2011",0.476,-6.112,0.0494,0.511,0.0344,0.74,"rock",1
"Queen","Back Chat - Remastered 2011",0.844,-6.423,0.372,0.71,0.0637,0.787,"rock",1
"Queen","Body Language - Remastered 2011",0.538,-9.593,0.102,0.367,0.0654,0.828,"rock",1
"Queen","Action This Day - Remastered 2011",0.478,-6.121,0.0801,0.909,0.0403,0.727,"rock",1
"Queen","Put Out The Fire - Remastered 2011",0.855,-5.869,0.184,0.467,0.0599,0.545,"rock",1
"Queen","Life Is Real (Song For Lennon) - Remastered 2011",0.447,-8.303,0.07,0.345,0.0246,0.571,"rock",1
"Queen","Calling All Girls - Remastered 2011",0.718,-6.749,0.0661,0.619,0.0346,0.613,"rock",1
"Queen","Las Palabras De Amor (The Words Of Love) - Remastered 2011",0.558,-7.643,0.0704,0.132,0.0282,0.395,"rock",1
"Queen","Cool Cat - Remastered 2011",0.4,-9.927,0.18,0.838,0.11,0.818,"rock",1
"Queen","Tie Your Mother Down - Remastered 2011",0.886,-5.6,0.35,0.16,0.0722,0.327,"rock",2
"Queen","Under Pressure - Remastered",0.712,-7.268,0.0804,0.527,0.0479,0.663,"rock",3
"Queen","Bohemian Rhapsody - Remastered 2011",0.404,-9.928,0.3,0.224,0.0499,0.414,"rock",1
"Queen","Another One Bites The Dust - Remastered 2011",0.528,-6.472,0.163,0.756,0.162,0.933,"rock",3
"Queen","We Will Rock You - Remastered",0.497,-7.316,0.258,0.473,0.119,0.693,"rock",3
"Queen","Bohemian Rhapsody - 2011 Remaster",0.398,-9.973,0.195,0.236,0.0515,0.392,"rock",1
"Queen","Killer Queen - 2011 Mix",0.65,-6.328,0.14,0.61,0.0554,0.535,"rock",3
"Queen","Somebody To Love - 2011 Mix",0.693,-7.024,0.215,0.358,0.0565,0.497,"rock",5
"Queen","I Want It All - Remastered 2011",0.834,-5.786,0.385,0.389,0.0472,0.398,"rock",1
"Queen","Princes Of The Universe",0.623,-14.327,0.313,0.34,0.0633,0.396,"rock",2
"Queen","Fat Bottomed Girls",0.645,-10.159,0.307,0.43,0.0439,0.327,"rock",1
"Queen","Another One Bites The Dust",0.392,-12.083,0.123,0.771,0.122,0.922,"rock",1
"Queen","Bohemian Rhapsody - 2011 Mix",0.402,-9.961,0.243,0.228,0.0536,0.392,"rock",3
"Queen","Killer Queen - 2011 Mix",0.64,-6.374,0.0958,0.622,0.0472,0.526,"rock",3
"Queen","Bohemian Rhapsody - 2011 Mix",0.402,-9.961,0.243,0.228,0.0536,0.392,"rock",3
"Queen","We Are The Champions - Remastered 2011",0.459,-6.948,0.119,0.172,0.0346,0.268,"rock",3
"Queen","You're My Best Friend - Remastered 2011",0.761,-7.025,0.0715,0.576,0.0452,0.518,"rock",2
"Queen","Another One Bites The Dust - Remastered 2011",0.528,-6.472,0.163,0.754,0.161,0.933,"rock",3
"Queen","Fat Bottomed Girls - Remastered 2011",0.684,-7.674,0.342,0.404,0.0495,0.337,"rock",1
"Queen","We Are The Champions - Remastered 2011",0.459,-6.94,0.118,0.175,0.0346,0.268,"rock",3
"Queen","Under Pressure - Remastered",0.712,-7.815,0.103,0.462,0.0476,0.671,"rock",3
"Queen","Somebody To Love - 2011 Mix",0.698,-6.967,0.127,0.349,0.0629,0.466,"rock",5
"Queen","39 - 2011 Mix",0.571,-9.686,0.111,0.373,0.0273,0.524,"rock",2
"Queen","Somebody To Love - 2011 Mix",0.693,-7.024,0.215,0.358,0.0565,0.497,"rock",5
"Queen","Princes Of The Universe",0.623,-14.327,0.313,0.34,0.0633,0.396,"rock",2
"Queen","Under Pressure",0.535,-12.657,0.0858,0.429,0.0523,0.67,"rock",1
"Queen","Somebody To Love - 2011 Mix",0.698,-6.967,0.127,0.349,0.0629,0.466,"rock",5
