"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
544,"2a3dopgTF1q4rMVDJ1rwBU","Push My Luck","The Chainsmokers",66,"3Gm1gQdIyBEPJVQUs7rYfr","World War Joy...Push My Luck","2019-11-08","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.584,0.643,2,-6.415,1,0.0395,0.288,0,0.186,0.53,90.036,181844
559,"5MvLsT03RBp67RLoeISCdl","Do You Mean (feat. Ty Dolla $ign & bülow)","The Chainsmokers",17,"17knWaxhmQjegn5eJgGVyL","World War Joy...Do You Mean","2019-04-26","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.6,0.666,11,-9.827,1,0.0394,0.102,0,0.118,0.566,99.989,193176
566,"1Pz3QmQFBFuI60rxCQBeW6","Kills You Slowly","The Chainsmokers",12,"26sv3HCM3uiEK4vzaK2gsQ","World War Joy...Kills You Slowly","2019-03-29","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.696,0.429,1,-8.736,0,0.0554,0.0518,0,0.128,0.242,149.967,213333
588,"15vzANxN8G9wWfwAJLLMCg","Paris","The Chainsmokers",75,"64vx3cUb97lQGlgt8zozWL","Paris","2017-01-13","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.646,0.644,2,-6.763,1,0.031,0.0243,0,0.0888,0.251,99.999,221520
609,"11cDEev79fPKi6uJCjUhu8","Who Do You Love","The Chainsmokers",23,"7D7hZbj2cLXwozxYePDF6d","Who Do You Love","2019-02-07","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,226747
1218,"1dNIEtp7AY3oDAKCGg2XkH","Something Just Like This","The Chainsmokers",76,"7IzpJkWQqgz1BTutQvSitX","Something Just Like This","2017-02-22","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","pop","dance pop",0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,247627
1236,"1i1fxkWeaMmKEB4T7zqbzK","Don't Let Me Down","The Chainsmokers",81,"2SByipSK8eZ2pasaIwwzhf","Don't Let Me Down","2016-02-05","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","pop","dance pop",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373
1341,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop","46Cl6dmeiylK6TRGXr7hHe","pop","post-teen pop",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
1580,"3g0mEQx3NTanacLseoP0Gw","Takeaway","The Chainsmokers",85,"01GR4NL5O5CZM51k0aejKD","World War Joy","2019-12-06","post-teen alternative, indie, pop (large variety)","1y42gwI5cuwjBslPyQNfqb","pop","post-teen pop",0.528,0.511,3,-8.144,1,0.0324,0.126,0,0.101,0.351,100.1,209880
1732,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","Post pop teen","222nc9tKxKhfZ2GBrOpwH3","pop","post-teen pop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
2032,"2a3dopgTF1q4rMVDJ1rwBU","Push My Luck","The Chainsmokers",66,"3Gm1gQdIyBEPJVQUs7rYfr","World War Joy...Push My Luck","2019-11-08","a taste of the mainstream","4gbXqmZDUFHqlaYjf4uVyS","pop","post-teen pop",0.584,0.643,2,-6.415,1,0.0395,0.288,0,0.186,0.53,90.036,181844
2478,"1i1fxkWeaMmKEB4T7zqbzK","Don't Let Me Down","The Chainsmokers",81,"2SByipSK8eZ2pasaIwwzhf","Don't Let Me Down","2016-02-05","Electropop Hits  2017-2020","7kyvBmlc1uSqsTL0EuNLrx","pop","electropop",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373
2479,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","Electropop Hits  2017-2020","7kyvBmlc1uSqsTL0EuNLrx","pop","electropop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
2492,"1dNIEtp7AY3oDAKCGg2XkH","Something Just Like This","The Chainsmokers",76,"7IzpJkWQqgz1BTutQvSitX","Something Just Like This","2017-02-22","Electropop Hits  2017-2020","7kyvBmlc1uSqsTL0EuNLrx","pop","electropop",0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,247627
2581,"15kQGEy89K8deJcZVFEn0N","This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",22,"1KQiX6KfutAN1UEzZ4BK5Q","Sick Boy...This Feeling","2018-09-18","Electropop 2019","4Bi8VLtaSu0JILliif8lH6","pop","electropop",0.539,0.651,1,-5.304,1,0.0432,0.0651,0,0.0662,0.474,105.159,199227
2606,"4BiiOzZCrXEzHRLYcYFiD5","Hope","The Chainsmokers",74,"6ZvDJs17O3woQirttKRYCG","Sick Boy","2018-12-14","Electropop 2019","4Bi8VLtaSu0JILliif8lH6","pop","electropop",0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,180120
2648,"11cDEev79fPKi6uJCjUhu8","Who Do You Love","The Chainsmokers",23,"7D7hZbj2cLXwozxYePDF6d","Who Do You Love","2019-02-07","Electropop 2019","4Bi8VLtaSu0JILliif8lH6","pop","electropop",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,226747
2701,"3vv9phIu6Y1vX3jcqaGz5Z","Roses","The Chainsmokers",73,"2GFflENKz28RcMoSuulPZC","Roses","2015-06-16","ELECTROPOP","2UsEj2GUukV0GLbsE3rldz","pop","electropop",0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
2809,"3FWPoYBDserKdzcattMFGa","Roses","The Chainsmokers",63,"5uJqpJth89JzqPFt6vEzwF","Bouquet","2015-10-23","ElectroPop 2020","4frhr6RQM2fMOm2mpvOVo6","pop","electropop",0.718,0.808,4,-7.652,1,0.0473,0.0299,0.00414,0.225,0.309,100.033,225813
2810,"6RUKPb4LETWmmr3iAEQktW","Something Just Like This","The Chainsmokers",83,"4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","2017-04-07","ElectroPop 2020","4frhr6RQM2fMOm2mpvOVo6","pop","electropop",0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160
2811,"7crMiinWx373rNBZBaVske","Closer","The Chainsmokers",62,"22rp3PnM3q2mtTI0OGCzpq","Collage EP","2016-11-04","ElectroPop 2020","4frhr6RQM2fMOm2mpvOVo6","pop","electropop",0.736,0.541,8,-5.597,1,0.0297,0.415,0,0.11,0.662,94.962,245507
2859,"2rizacJSyD9S1IQUxUxnsK","All We Know","The Chainsmokers",70,"0xmaV6EtJ4M3ebZUPRnhyb","All We Know","2016-09-29","ElectroPop 2020","4frhr6RQM2fMOm2mpvOVo6","pop","electropop",0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,194080
2880,"5MvLsT03RBp67RLoeISCdl","Do You Mean (feat. Ty Dolla $ign & bülow)","The Chainsmokers",17,"17knWaxhmQjegn5eJgGVyL","World War Joy...Do You Mean","2019-04-26","Electropop - Pop","5TiiHps0hNCyQ6ijVkNZQs","pop","electropop",0.6,0.666,11,-9.827,1,0.0394,0.102,0,0.118,0.566,99.989,193176
3761,"1KeZgPUr54C8iz3FjqzVoz","Young","The Chainsmokers",65,"4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","2017-04-07","ElectroPop","0cuHKz65ZPqBX1brG8djlg","pop","electropop",0.615,0.564,9,-6.384,1,0.0291,0.0105,0,0.148,0.454,103.006,224773
4536,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","A Loose Definition of Indie Poptimism","4ZO0wp9G8FA3X6oYNBzda6","pop","indie poptimism",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
4542,"2rizacJSyD9S1IQUxUxnsK","All We Know","The Chainsmokers",70,"0xmaV6EtJ4M3ebZUPRnhyb","All We Know","2016-09-29","A Loose Definition of Indie Poptimism","4ZO0wp9G8FA3X6oYNBzda6","pop","indie poptimism",0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,194080
4593,"5brMyscUnQg14hMriS91ks","Kanye","The Chainsmokers",60,"1kDxLifAXYG0I81ynPPRcn","Kanye","2014-08-05","A Loose Definition of Indie Poptimism","4ZO0wp9G8FA3X6oYNBzda6","pop","indie poptimism",0.599,0.619,10,-6.575,1,0.0523,0.002,1.49e-06,0.117,0.121,128.041,229947
4642,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","indie poptimism🕺🏻","6MQeEHHDs6HQkN5Dlj3oKo","pop","indie poptimism",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
4649,"05CwHjIk71RXVU40boRMnR","Call You Mine","The Chainsmokers",39,"1ONuDpN0a3zhCUyKCgtuzK","World War Joy","2019-05-31","indie poptimism🕺🏻","6MQeEHHDs6HQkN5Dlj3oKo","pop","indie poptimism",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
4671,"11cDEev79fPKi6uJCjUhu8","Who Do You Love","The Chainsmokers",23,"7D7hZbj2cLXwozxYePDF6d","Who Do You Love","2019-02-07","indie poptimism🕺🏻","6MQeEHHDs6HQkN5Dlj3oKo","pop","indie poptimism",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,226747
4738,"1ywuaylLSmjHXsZOr0CY9U","Push My Luck - Famba Remix","The Chainsmokers",59,"0Yf5xlkmcqWPjBHeKx0rKc","Push My Luck - The Remixes","2019-11-29","The Pulse of Indie Poptimism","5qFXOOxrQVyS4UCq3UilZN","pop","indie poptimism",0.632,0.811,11,-6.427,0,0.0396,0.000873,0.000525,0.0553,0.339,123.966,178067
4801,"3vv9phIu6Y1vX3jcqaGz5Z","Roses","The Chainsmokers",73,"2GFflENKz28RcMoSuulPZC","Roses","2015-06-16","random playlist that can't decide its genre so go ahead jam along with these catchy tunes","49qyKvg6UAQAvIMUIGMnP3","pop","indie poptimism",0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
4816,"1i1fxkWeaMmKEB4T7zqbzK","Don't Let Me Down","The Chainsmokers",81,"2SByipSK8eZ2pasaIwwzhf","Don't Let Me Down","2016-02-05","random playlist that can't decide its genre so go ahead jam along with these catchy tunes","49qyKvg6UAQAvIMUIGMnP3","pop","indie poptimism",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373
7370,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance","0Hr2h94pKN8QAGVAgD6BsD","rap","southern hip hop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
8085,"1i1fxkWeaMmKEB4T7zqbzK","Don't Let Me Down","The Chainsmokers",81,"2SByipSK8eZ2pasaIwwzhf","Don't Let Me Down","2016-02-05","HIP&HOP","5DyJsJZOpMJh34WvUrQzMV","rap","southern hip hop",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373
10496,"3K01yfjGY0NslZrXkWVAtK","Siren","The Chainsmokers",63,"6ZvDJs17O3woQirttKRYCG","Sick Boy","2018-12-14","Trap Mojito","37i9dQZF1DX1OIMC8iDi74","rap","trap",0.588,0.779,4,-4.284,0,0.107,0.351,0.0114,0.371,0.264,150.015,174307
10916,"33ecyF2OHCK4HFUSp1hItE","Closer - T-Mass Remix","The Chainsmokers",47,"3l245CMHJf03dz4DoT3XYJ","Closer (Remixes)","2016-09-23","Trap Nation 🔊","5aPwKjwNHr6dnCejLcPTVx","rap","trap",0.7,0.821,8,-4.338,1,0.0444,0.115,0,0.0796,0.608,94.952,247520
10924,"15BlympuVSfZFROojEMY2M","Don't Let Me Down - Illenium Remix","The Chainsmokers",64,"5yhNY3zM1Vx1oaL3GYTWIZ","Don't Let Me Down (Remixes)","2016-05-27","Trap Nation 🔊","5aPwKjwNHr6dnCejLcPTVx","rap","trap",0.428,0.656,11,-3.712,1,0.075,0.0751,0.181,0.15,0.355,79.648,218933
10986,"185CVwvQgfW5QXXeuLv7Rl","Side Effects - Nolan van Lith Remix","The Chainsmokers",36,"3Yb3f9PL7aBpjuJPyiV0ot","Side Effects - Remixes","2018-07-25","Trap Nation 🔊","5aPwKjwNHr6dnCejLcPTVx","rap","trap",0.548,0.939,5,-4.024,1,0.0977,0.275,2.79e-06,0.0561,0.516,145.082,184160
16726,"3TKpJrY9q49Mj1JOsM9zGL","Family","The Chainsmokers",85,"01GR4NL5O5CZM51k0aejKD","World War Joy","2019-12-06","Tropical House 🏝 2020 Hits","2SRbIs0eBQwHeTP7kErjwo","latin","tropical",0.584,0.607,11,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827
17024,"5sWevAyvYSRzGpIsdsRvJi","All We Know - Oliver Heldens Remix","The Chainsmokers",43,"1U4ojJZjWFt4zZC3ZM2Nve","All We Know (Oliver Heldens Remix)","2016-12-16","Tropical Beats","37i9dQZF1DX1bDvyV0IkZ3","latin","tropical",0.711,0.8,0,-5.852,1,0.0303,0.00158,0.0513,0.314,0.43,124.009,184253
17318,"3vv9phIu6Y1vX3jcqaGz5Z","Roses","The Chainsmokers",73,"2GFflENKz28RcMoSuulPZC","Roses","2015-06-16","Tropical Morning","0vbtbmyihyvl2MVYrdKdGw","latin","tropical",0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
17387,"4kT9iDGAQt83gOUdbTUtaW","Somebody","The Chainsmokers",0,"4QXzdLyLnVUX2g67c8iF9r","Sick Boy...Siren","2018-10-26","EDM TROPICAL","3pS63EDS40FVGYL41zAcU4","latin","tropical",0.532,0.616,10,-7.074,0,0.0328,0.186,0,0.0928,0.292,101.883,223147
17410,"1i1fxkWeaMmKEB4T7zqbzK","Don't Let Me Down","The Chainsmokers",81,"2SByipSK8eZ2pasaIwwzhf","Don't Let Me Down","2016-02-05","EDM TROPICAL","3pS63EDS40FVGYL41zAcU4","latin","tropical",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373
17468,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","Tropical House Run 190 BPM","37i9dQZF1DWSTc9FdySHtz","latin","tropical",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
18338,"1SNiXDwSilLujcYdvfqVpT","Call You Mine","The Chainsmokers",62,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","latin","latin pop",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
18349,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","latin","latin pop",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
18359,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","latin","latin pop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
19748,"1SNiXDwSilLujcYdvfqVpT","Call You Mine","The Chainsmokers",62,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","latin","latin hip hop",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
19760,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","latin","latin hip hop",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
19771,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","latin","latin hip hop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
21532,"0ZBP7LB2JvzoaKsBFElGRF","Do You Mean (feat. Ty Dolla $ign & bülow)","The Chainsmokers",48,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Most Popular 2020 TOP 50","1fqkbjEACMlekdddm5aobE","r&b","urban contemporary",0.6,0.666,11,-9.827,1,0.0394,0.102,0,0.118,0.566,99.989,193176
21549,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Most Popular 2020 TOP 50","1fqkbjEACMlekdddm5aobE","r&b","urban contemporary",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
23175,"3TKpJrY9q49Mj1JOsM9zGL","Family","The Chainsmokers",85,"01GR4NL5O5CZM51k0aejKD","World War Joy","2019-12-06","Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs","3xMQTDLOIGvj3lWH5e5x6F","r&b","hip pop",0.584,0.607,11,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827
23449,"0fTiDOXRNEN0lUeYGoSHml","Somebody","The Chainsmokers",69,"6ZvDJs17O3woQirttKRYCG","Sick Boy","2018-12-14","Hip Pop 2019","3tmx4p5RGlOV1AapXOt1Ze","r&b","hip pop",0.32,0.63,10,-7.019,0,0.0493,0.192,0,0.102,0.323,203.443,221987
23451,"2cooNqkhh52uvZJeHTHUm4","Who Do You Love","The Chainsmokers",11,"31e3OuAblyNxtJN8JnDyiz","NOW That's What I Call Music!, Vol. 70","2019-05-03","Hip Pop 2019","3tmx4p5RGlOV1AapXOt1Ze","r&b","hip pop",0.529,0.783,3,-6.143,1,0.0388,0.0359,0,0.174,0.493,140.026,225360
23462,"1SNiXDwSilLujcYdvfqVpT","Call You Mine","The Chainsmokers",62,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Hip Pop 2019","3tmx4p5RGlOV1AapXOt1Ze","r&b","hip pop",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
23477,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Hip Pop 2019","3tmx4p5RGlOV1AapXOt1Ze","r&b","hip pop",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
23785,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥","4JkkvMpVl4lSioqQjeAL0q","r&b","hip pop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
23809,"7jqDzXJS0K0Re8uphYNit0","Sick Boy","The Chainsmokers",11,"2QI0UclC8ipuXoyCva1C7K","Sick Boy","2018-01-17","Today's Hits (Clean)","7ENISpOJhocpMJVcGb0qcT","r&b","hip pop",0.548,0.58,11,-7.524,0,0.121,0.104,0,0.127,0.462,180.066,193893
23905,"3vv9phIu6Y1vX3jcqaGz5Z","Roses","The Chainsmokers",73,"2GFflENKz28RcMoSuulPZC","Roses","2015-06-16","Today's Hits (Clean)","7ENISpOJhocpMJVcGb0qcT","r&b","hip pop",0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
26838,"15BlympuVSfZFROojEMY2M","Don't Let Me Down - Illenium Remix","The Chainsmokers",64,"5yhNY3zM1Vx1oaL3GYTWIZ","Don't Let Me Down (Remixes)","2016-05-27","Electro House 2020","317O0e8iWJLClLGDKtieRe","edm","electro house",0.428,0.656,11,-3.712,1,0.075,0.0751,0.181,0.15,0.355,79.648,218933
27636,"2Yp9RZD8reu2mQ2mgFGfOZ","Honest - Gil Glaze Remix","The Chainsmokers",34,"07cmevY2Te9mLWpoXVECbI","Honest (Remixes)","2017-08-04","New House   ‍","54XvQQsViMBwjO1ws2o2wx","edm","electro house",0.558,0.93,0,-5.742,0,0.0404,0.0614,0.00238,0.137,0.454,119.97,212053
27754,"4s2rzq6ZpCfg5ODq0z79QG","Don't Let Me Down - W&W Remix","The Chainsmokers",58,"5yhNY3zM1Vx1oaL3GYTWIZ","Don't Let Me Down (Remixes)","2016-05-27","Crossfit‏‏​​   ‍","5GiPRvTccToqwOzkoAcDrY","edm","electro house",0.431,0.877,8,-5.677,0,0.121,0.041,0.00128,0.126,0.484,159.897,195093
